_id.programme,_id.year,count,totalCost,avgTotalCost,stdDevTotalCost,minTotalCost,maxTotalCost,ecMaxContribution,avgEcMaxContribution,stdDevEcMaxContribution,minEcMaxContribution,maxEcMaxContribution,programeDesc.RCN,programeDesc.Code,programeDesc.Title,programeDesc.ShortTitle
FP7-SIS,2008,36,2.945617e+07,818226.9444444445,358192.12468698237,66000,1.590047e+06,2.3527389e+07,653538.5833333334,299801.7140779492,55000,1.343477e+06,,FP7-SIS,"Programme spécifique ""Capacités"": La science dans la société",La science dans la société
FP7-SIS,2016,35,1.18245084e+08,3.3784309714285713e+06,1.2729573989809148e+06,1.22966e+06,7.75853e+06,9.5547876e+07,2.729939314285714e+06,1.122764674742378e+06,999341,6.942031e+06,,FP7-SIS,"Programme spécifique ""Capacités"": La science dans la société",La science dans la société
FP7-REGIONS,2011,34,6.1207003e+07,1.8002059705882352e+06,1.0308088862028376e+06,218515,3.585941e+06,5.2901712e+07,1.555932705882353e+06,887022.0836930436,170034,2.949032e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-INCO,2016,34,9.8382574e+07,2.893605117647059e+06,5.051744549645992e+06,834177,3.1154999e+07,6.182672e+07,1.8184329411764706e+06,1.0636106510396262e+06,740139,4e+06,,FP7-INCO,"Programme spécifique ""Capacités"": Coopération internationale",Coopération internationale
FP7-PEOPLE,2019,32,2.74034411e+08,8.56357534375e+06,8.512758164260218e+06,100000,2.4545853e+07,1.1056156e+08,3.45504875e+06,3.3760732356432597e+06,100000,9.818341e+06,,FP7-PEOPLE,"Programme spécifique ""Personnes"" mettant en œuvre le septième programme-cadre de la Communauté européenne pour des activités de recherche, de développement technologique et de démonstration (2007-2013)","Programme spécifique ""Personnes"""
FP7-REGIONS,2014,32,8.4497957e+07,2.64056115625e+06,467879.8946737766,1.612177e+06,3.306893e+06,7.419496e+07,2.3185925e+06,417032.3565774752,1.402043e+06,2.889692e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-SECURITY,2008,30,1.11616529e+08,3.720550966666667e+06,3.753692718446174e+06,669134,1.9497387e+07,7.9079064e+07,2.6359688e+06,2.486397641161625e+06,150000,1.2898332e+07,,FP7-SECURITY,"Programme spécifique ""Coopération"": Sécurité",Sécurité
FP7-SPACE,2017,30,1.11796712e+08,3.726557066666667e+06,2.500773736105927e+06,2.544144e+06,1.5890993e+07,7.785158e+07,2.5950526666666665e+06,1.09480970355459e+06,1.981301e+06,6.996159e+06,,FP7-SPACE,"Programme spécifique ""Coopération"": Espace",Espace
FP7-INFRASTRUCTURES,2016,27,2.61305656e+08,9.67798725925926e+06,5.35545581766971e+06,1.169853e+06,2.6571609e+07,1.92783574e+08,7.14013237037037e+06,3.46946490945932e+06,1.015e+06,1.9e+07,,FP7-INFRASTRUCTURES,"Programme spécifique ""Capacités"": Infrastructures de recherche",Infrastructures de recherche
FP7-ICT,2007,24,9.2006975e+07,3.8336239583333335e+06,3.0338054929043115e+06,609502,1.2286876e+07,6.3751214e+07,2.6563005833333335e+06,1.9713786419610623e+06,584000,8.398295e+06,,FP7-ICT,"Programme spécifique ""Coopération"":  Technologies de l’information et de la communication",Technologies de l'information et de la communication
FP7-TRANSPORT,2017,24,3.05705588e+08,1.2737732833333334e+07,1.2273302269688567e+07,1.309268e+06,4.5043663e+07,1.83712847e+08,7.654701958333333e+06,7.358386581108397e+06,1.188254e+06,2.6459215e+07,,FP7-TRANSPORT,"Programme spécifique ""Coopération"": Transports (y compris l’aéronautique)",Transports (y compris l’aéronautique)
FP7-KBBE,2018,24,2.29019979e+08,9.542499125e+06,2.7334288349728943e+06,3.773113e+06,1.4154061e+07,1.61269802e+08,6.719575083333333e+06,2.199653179097558e+06,2.99989e+06,8.999809e+06,,FP7-KBBE,"Programme spécifique ""Coopération"": Alimentation, agriculture et biotechnologie","Alimentation, agriculture et pêche, et biotechnologie"
FP7-REGIONS,2015,22,5.8112766e+07,2.6414893636363638e+06,471283.8709697494,1.612177e+06,3.306893e+06,5.1018754e+07,2.319034272727273e+06,427832.9336757071,1.402043e+06,2.889692e+06,,FP7-REGIONS,"Programme spécifique ""Capacités"": Régions de la connaissance",Régions de la connaissance
FP7-SPACE,2009,21,2.58846306e+08,1.232601457142857e+07,1.624979785609036e+07,345760,5.5008475e+07,1.90252846e+08,9.059659333333334e+06,1.2540157382854315e+07,309711,4.8e+07,,FP7-SPACE,"Programme spécifique ""Coopération"": Espace",Espace
FP7-GA,2010,20,4.2709022e+08,2.1354511e+07,6.118076103356502e+07,107754,2.80086352e+08,3.05833444e+08,1.52916722e+07,5.403686269586235e+07,95186,2.5e+08,,FP7-GA,Coordination de programmes de recherche non communautaires,Programmes de recherche non communautaires
